order_id,order_date,order_month,order_year,customer_name,product_name,category,quantity,price,discount,net_revenue,profit
188,2025-08-02,August,2025,"Vasudha biswas","Atomic Habits",Books,2,956.44,54.40,1858.48,-36007.26
188,2025-08-02,August,2025,"Vasudha biswas","W Women Kurta",Clothing,NULL,6339.23,18.06,NULL,NULL
1620,0000-00-00,NULL,0,"Nihal lala","WOW Hair Oil",Beauty,3,10000.00,NULL,NULL,NULL
1620,0000-00-00,NULL,0,"Nihal lala","Realme Buds Air 3",Electronics,9,22692.34,20.70,204210.36,-130714.65
1620,0000-00-00,NULL,0,"Nihal lala","Boldfit Yoga Mat",Sports,10,10000.00,21.89,99978.11,-249517.79
1603,2025-03-12,March,2025,"Chatura kala","Logitech MX Master 3",Electronics,1,32551.18,-10.00,32561.18,12313.80
1192,2026-02-28,February,2026,"Chatura kala","Samsung Galaxy A54",Electronics,7,33042.69,17.21,231281.62,206369.25
2967,2025-02-05,February,2025,"Utkarsh taneja","LENOVO IDEAPAD SLIM 3",Electronics,9,20717.23,33.97,186421.10,-33309.58
2886,2025-11-25,November,2025,"Utkarsh taneja","LEGO Classic Set",Toys,3,29474.58,-10.00,88433.74,-1663.13
809,2026-03-07,March,2026,"Utkarsh taneja","Apple AirPods Pro",Electronics,9,10000.00,33.51,89966.49,-192792.27
1323,2026-01-20,January,2026,"Bakhshi chhabra","LAKME LIPSTICK",Beauty,9,26927.39,NULL,NULL,NULL
625,2025-06-02,June,2025,"Bakhshi chhabra","WOW Hair Oil",Beauty,2,4420.26,54.52,8786.00,-16878.46
72,2025-02-26,February,2025,"Ridhi keer","Funskool Monopoly",Toys,3,7594.18,1.38,22781.16,-66990.96
72,2025-02-26,February,2025,"Ridhi keer","Apple AirPods Pro",Electronics,5,2075.12,21.15,10354.45,-19561.90
591,2025-07-05,July,2025,"Unnati nanda @#$","Atomic Habits",Books,NULL,26359.74,38.67,NULL,NULL
591,2025-07-05,July,2025,"Unnati nanda @#$","Realme Buds Air 3",Electronics,1,38596.88,37.22,38559.66,1345.77
875,2025-10-28,October,2025,"Ishani basak","Realme Buds Air 3",Electronics,1,2488.84,110.00,2378.84,-10011.04
875,2025-10-28,October,2025,"Ishani basak","lego classic set",Toys,NULL,19644.11,9.50,NULL,NULL
875,2025-10-28,October,2025,"Ishani basak","LAKME LIPSTICK",Beauty,NULL,36044.92,34.42,NULL,NULL
1216,2024-05-18,May,2024,"Luke bail","Lakme Lipstick",Beauty,2,10000.00,8.28,19991.72,-8.28
1216,2024-05-18,May,2024,"Luke bail","Philips Air Fryer","Home & Kitchen",NULL,33369.46,57.35,NULL,NULL
3009,2024-08-17,August,2024,"Nandini joshi","h&m basic t-shirt",Clothing,6,37165.19,NULL,NULL,NULL
2633,2026-02-17,February,2026,"Nandini joshi","Funskool Monopoly",Toys,5,10000.00,110.00,49890.00,-112125.10
2633,2026-02-17,February,2026,"Nandini joshi","WINGS OF FIRE",Books,1,16813.82,14.38,16799.44,-6787.31
85,2025-02-11,February,2025,"Nandini joshi","h&m basic t-shirt",Clothing,6,25458.52,39.16,152711.96,56115.68
3810,2025-04-11,April,2025,"Vedhika dara","apple airpods pro",Electronics,NULL,5222.57,27.88,NULL,NULL
3810,2025-04-11,April,2025,"Vedhika dara","Levis 511 Jeans",Clothing,2,19188.97,22.17,38355.77,-10507.11
2588,2024-05-06,May,2024,"Vedhika dara","h&m basic t-shirt",Clothing,3,26916.74,11.62,80738.60,32440.46
1387,2024-07-11,July,2024,"Vedhika dara","Realme Buds Air 3",Electronics,3,39605.29,6.44,118809.43,10721.08
1387,2024-07-11,July,2024,"Vedhika dara","boAt Rockerz 450",Electronics,4,8777.33,40.05,35069.27,-3964930.69
967,0000-00-00,NULL,0,"Vedhika dara","boAt Rockerz 450",Electronics,7,4866.11,2.29,34060.48,-35939.52
1117,2026-01-09,January,2026,"Girish pandey","Funskool Monopoly",Toys,5,30369.97,14.15,151835.70,139243.45
3180,2024-04-09,April,2024,"Simon vala","Philips Air Fryer","Home & Kitchen",999,18584.73,0.00,18566145.27,8576145.27
3180,2024-04-09,April,2024,"Simon vala","Lakme Lipstick",Beauty,4,1709.00,55.92,6780.08,-146681.04
950,2026-01-02,January,2026,"Simon vala","W Women Kurta",Clothing,2,854.14,40.92,1667.36,-132264.78
787,2026-12-13,December,2026,"Simon vala","Milton Flask","Home & Kitchen",1,12029.71,14.47,12015.24,-12306.28
2251,2026-03-23,March,2026,"Vihaan puri","Samsung Galaxy A54",Electronics,1,1482.80,12.11,1470.69,-25888.06
2251,2026-03-23,March,2026,"Vihaan puri","Philips Air Fryer","Home & Kitchen",2,7405.19,110.00,14700.38,-5299.62
1657,2025-09-10,September,2025,"Vihaan puri","Lenovo IdeaPad Slim 3",Electronics,10,10000.00,NULL,NULL,NULL
1657,2025-09-10,September,2025,"Vihaan puri","boAt Rockerz 450",Electronics,1,37331.22,21.54,37309.68,-962690.31
1272,2025-11-03,November,2025,"Vihaan puri","h&m basic t-shirt",Clothing,4,10000.00,38.81,39961.19,14788.75
3493,2025-03-27,March,2025,"Banjeet ganesh","Prestige Induction Cooktop","Home & Kitchen",5,6649.44,35.93,33211.27,1979.12
2866,2026-01-27,January,2026,"Daniel mallick","BOLDFIT YOGA MAT",Sports,10,19956.66,0.00,199566.60,-179999.80
1503,2028-11-13,November,2028,"Daniel mallick","Redmi Note 13",Electronics,8,13311.95,21.25,106474.35,-112127.57
1503,2028-11-13,November,2028,"Daniel mallick","WOW Hair Oil",Beauty,2,14526.94,54.06,28999.82,3335.36
1470,2024-08-05,August,2024,"Daniel mallick","Logitech MX Master 3",Electronics,8,19706.12,53.98,157594.98,-104585.50
1386,2024-11-08,November,2024,"Bhavini nayar","H&M Basic T-Shirt",Clothing,9,18637.51,110.00,167627.59,77627.59
1386,2024-11-08,November,2024,"Bhavini nayar","h&m basic t-shirt",Clothing,4,37695.29,42.11,150739.05,125566.61
1386,2024-11-08,November,2024,"Bhavini nayar","LAKME LIPSTICK",Beauty,3,21283.79,47.91,63803.46,-18843.36
2669,2025-07-01,July,2025,123,"OnePlus Nord CE3",Electronics,10,3496.22,9.36,34952.84,-24608.56
3655,2024-08-15,August,2024,"Zayyan vala","OnePlus Nord CE3",Electronics,9,35567.52,25.01,320082.67,266477.41
1116,2024-05-17,May,2024,"Zayyan vala","Apple AirPods Pro",Electronics,9,14954.40,-10.00,134599.60,-148159.16
663,2024-09-08,September,2024,"Zayyan vala","Apple AirPods Pro",Electronics,4,3944.90,-10.00,15789.60,-134480.28
663,2024-09-08,September,2024,"Zayyan vala","Atomic Habits",Books,9,32546.49,22.08,292896.33,749.85
2849,2024-05-06,May,2024,"Faraj jha","OnePlus Nord CE3",Electronics,3,10000.00,58.69,29941.31,-37241.44
3409,2024-09-06,September,2024,"Hemang hans","Milton Flask","Home & Kitchen",10,17294.81,0.97,172947.13,-121012.87
2827,2024-11-29,November,2024,"Hemang hans","Milton Flask","Home & Kitchen",1,10000.00,46.55,9953.45,-19442.55
1393,2025-01-13,January,2025,"Hemang hans","OnePlus Nord CE3",Electronics,2,10755.29,33.14,21477.44,-55173.90
320,2025-08-03,August,2025,"Hemang hans","W Women Kurta",Clothing,9,12047.18,45.16,108379.46,18379.46
320,2025-08-03,August,2025,"Hemang hans","Realme Buds Air 3",Electronics,3,29497.53,52.40,88440.19,21929.89
3880,2025-02-25,February,2025,"Jagrati nadig","Allen Solly Formal Shirt",Clothing,10,705.85,42.27,7016.23,-561479.77
3552,2025-03-19,March,2025,"Jagrati nadig","Funskool Monopoly",Toys,10,1995.36,51.55,19902.05,-279338.35
3524,2024-09-27,September,2024,"Jagrati nadig","Mamaearth Face Wash",Beauty,NULL,10000.00,0.00,NULL,NULL
1611,2025-09-08,September,2025,"Jagrati nadig","Cosco Basketball",Sports,7,10000.00,28.29,69971.71,11210.63
466,2023-06-15,June,2023,"Jagrati nadig","Tata Tea 1kg",Grocery,1,8671.78,14.38,8657.40,-11561.29
466,2023-06-15,June,2023,"Jagrati nadig","BOLDFIT YOGA MAT",Sports,1,10000.00,10.29,9989.71,-22040.14
1851,2025-07-04,July,2025,"Nathan sachdev","LEGO Classic Set",Toys,10,16245.50,19.70,162435.30,-137887.60
1697,2024-04-27,April,2024,"Nathan sachdev","Lakme Lipstick",Beauty,NULL,2060.03,13.39,NULL,NULL
3565,2025-05-18,May,2025,"Falan ramesh","Lakme Lipstick",Beauty,8,25406.34,NULL,NULL,NULL
3406,2025-01-18,January,2025,"Falan ramesh","Lakme Lipstick",Beauty,2,21377.75,48.75,42706.75,8751.31
3406,2025-01-18,January,2025,"Falan ramesh","Realme Buds Air 3",Electronics,2,1474.02,25.52,2922.52,-71505.26
3406,2025-01-18,January,2025,"Falan ramesh","fire-boltt phoenix",Electronics,5,38659.37,2.33,193294.52,172179.42
2470,2024-04-26,April,2024,"Falan ramesh","Tata Tea 1kg",Grocery,5,10000.00,0.00,50000.00,14895.95
2470,2024-04-26,April,2024,"Falan ramesh","Boldfit Yoga Mat",Sports,3,20729.16,28.58,62158.90,-5165.27
698,2024-04-24,April,2024,"Falan ramesh","Sony WH-1000XM5",Electronics,5,21133.60,41.74,105626.26,55921.16
3411,2024-05-13,May,2024,"Unnati mukhopadhyay","OnePlus Nord CE3",Electronics,2,10000.00,NULL,NULL,NULL
3411,2024-05-13,May,2024,"Unnati mukhopadhyay","WINGS OF FIRE",Books,4,31895.20,18.77,127562.03,33215.03
3411,2024-05-13,May,2024,"Unnati mukhopadhyay","Milton Flask","Home & Kitchen",999,31683.97,9.96,31652276.07,24598666.74
3101,2024-08-31,August,2024,"Unnati mukhopadhyay","Titan Watch",Others,1,37598.03,20.42,37577.61,-26387.12
2165,2025-06-17,June,2025,"Unnati mukhopadhyay","WINGS OF FIRE",Books,5,14775.91,2.70,73876.85,-44056.90
2165,2025-06-17,June,2025,"Unnati mukhopadhyay","Fire-Boltt Phoenix",Electronics,1,32696.14,7.17,32688.97,22688.97
2129,2025-02-24,February,2025,"Unnati mukhopadhyay","Apple AirPods Pro",Electronics,7,99999.99,16.72,699983.21,542412.30
2129,2025-02-24,February,2025,"Unnati mukhopadhyay","LENOVO IDEAPAD SLIM 3",Electronics,1,10000.00,54.84,9945.16,-14469.36
2119,2025-05-07,May,2025,"Unnati mukhopadhyay","Lenovo IdeaPad Slim 3",Electronics,7,26974.11,38.46,188780.31,-74564.66
629,2024-10-18,October,2024,"Unnati mukhopadhyay","Realme Buds Air 3",Electronics,8,9479.89,54.99,75784.13,-23334.91
3122,2025-10-17,October,2025,"Arunima prasad","apple airpods pro",Electronics,8,7501.04,15.29,59993.03,-136809.21
3122,2025-10-17,October,2025,"Arunima prasad","Atomic Habits",Books,2,9385.43,51.04,18719.82,-46201.62
1068,2024-08-30,August,2024,"Arunima prasad","Levis 511 Jeans",Clothing,1,15828.35,10.08,15818.27,2082.37
1264,2024-09-11,September,2024,"Utkarsh doshi","Cosco Basketball",Sports,3,78.40,12.75,222.45,-25282.65
235,2025-10-16,October,2025,"Harini narasimhan","Levis 511 Jeans",Clothing,4,38842.66,0.00,155370.64,115370.64
3813,2024-09-21,September,2024,"Ojasvi chatterjee","Nike Running Shoes",Sports,1,3354.05,18.53,3335.52,-31976.52
693,2024-09-30,September,2024,"Ojasvi chatterjee","Tata Tea 1kg",Grocery,NULL,13660.20,29.20,NULL,NULL
856,2025-04-14,April,2025,"gautam kadakia","Cosco Basketball",Sports,2,9903.61,1.64,19805.58,2802.18
2236,2025-05-07,May,2025,"Omya thaker","OnePlus Nord CE3",Electronics,1,10096.33,44.96,10051.37,-40272.71
3751,2024-11-24,November,2024,"Anya khare","Samsung Galaxy A54",Electronics,4,22508.11,110.00,89922.44,75686.80
3063,2024-04-18,April,2024,"Anya khare","Boldfit Yoga Mat",Sports,4,15934.72,43.33,63695.55,23695.55
2380,2025-08-05,August,2025,"Ekantika mani","Lakme Lipstick",Beauty,8,14978.61,21.06,119807.82,39807.82
2020,2025-07-10,July,2025,"Ekantika mani","OnePlus Nord CE3",Electronics,NULL,38937.04,48.03,NULL,NULL
2413,2026-04-03,April,2026,"Warinder varma","Atomic Habits",Books,2,24694.77,48.77,49340.77,35068.57
605,2025-10-26,October,2025,"Warinder varma","apple airpods pro",Electronics,999,36133.71,NULL,NULL,NULL
605,2025-10-26,October,2025,"Warinder varma","Atomic Habits",Books,5,25065.86,10.96,125318.34,16783.84
964,2025-11-23,November,2025,"Brijesh mann","Titan Watch",Others,4,18818.47,110.00,75163.88,4796.24
1920,2025-04-19,April,2025,"Radhika deshmukh","OnePlus Nord CE3",Electronics,1,1633.47,4.20,1629.27,-36696.40
3785,2027-07-16,July,2027,"Warinder dora","lego classic set",Toys,2,36482.14,NULL,NULL,NULL
2787,2026-04-07,April,2026,"Warinder dora","Apple AirPods Pro",Electronics,2,6431.21,34.83,12827.59,-7172.41
2787,2026-04-07,April,2026,"Warinder dora","Tata Tea 1kg",Grocery,6,25842.55,14.10,155041.20,112916.34
2787,2026-04-07,April,2026,"Warinder dora","OnePlus Nord CE3",Electronics,8,10000.00,42.35,79957.65,-105187.39
357,2025-09-25,September,2025,"Warinder dora","Nike Running Shoes",Sports,3,9094.73,0.00,27284.19,-17106.15
225,2026-01-01,January,2026,"Warinder dora","Levis 511 Jeans",Clothing,2,14543.00,34.86,29051.14,9051.14
1846,2024-12-13,December,2024,"Zaid gopal","BOLDFIT YOGA MAT",Sports,6,2861.29,12.43,17155.31,-57210.37
3324,2026-01-02,January,2026,"Jacob bhasin","Milton Flask","Home & Kitchen",5,10000.00,4.83,49995.17,-119543.28
2796,2025-10-22,October,2025,"Jacob bhasin","boAt Rockerz 450",Electronics,4,13925.66,-10.00,55712.64,-3944287.32
744,2025-12-05,December,2025,"Jacob bhasin","fire-boltt phoenix",Electronics,9,37190.52,55.47,334659.21,244659.21
744,2025-12-05,December,2025,"Jacob bhasin","Realme Buds Air 3",Electronics,5,99999.99,36.56,499963.39,319816.14
1675,2025-01-03,January,2025,"Mugdha patla","Lakme Lipstick",Beauty,7,10000.00,35.45,69964.55,-35.45
1675,2025-01-03,January,2025,"Mugdha patla","Boldfit Yoga Mat",Sports,9,18426.89,0.38,165841.63,75841.63
3825,2025-12-20,December,2025,"Zaitra sanghvi","Sony WH-1000XM5",Electronics,7,99999.99,6.64,699993.29,483155.20
3825,2025-12-20,December,2025,"Zaitra sanghvi","Sony WH-1000XM5",Electronics,1,7645.23,0.00,7645.23,-18256.26
3825,2025-12-20,December,2025,"Zaitra sanghvi","H&M Basic T-Shirt",Clothing,5,10000.00,33.13,49966.87,-33.13
1092,1900-01-01,January,1900,"Zaitra sanghvi","H&M Basic T-Shirt",Clothing,2,3876.41,16.65,7736.17,-18474.47
2553,2024-11-07,November,2024,"Kamala agrawal","Levis 511 Jeans",Clothing,9,27953.87,9.07,251575.76,209929.25
2553,2024-11-07,November,2024,"Kamala agrawal","Cosco Basketball",Sports,4,99999.99,110.00,399889.96,304012.60
3279,2024-05-10,May,2024,"Max bassi","Milton Flask","Home & Kitchen",1,6808.06,0.00,6808.06,-803.12
3279,2024-05-10,May,2024,"Max bassi","Tata Tea 1kg",Grocery,7,30916.64,13.19,216403.29,173288.33
1567,2024-12-29,December,2024,"Max bassi","Philips Air Fryer","Home & Kitchen",4,18457.16,18.72,73809.92,-84490.92
1567,2024-12-29,December,2024,"Max bassi","W Women Kurta",Clothing,6,31284.98,43.28,187666.60,-214129.82
1959,2024-06-21,June,2024,123,"Philips Air Fryer","Home & Kitchen",NULL,36085.21,14.20,NULL,NULL
284,2024-11-04,November,2024,123,"lego classic set",Toys,1,36249.06,8.06,36241.00,-10041.38
3689,2026-03-09,March,2026,"Luke oza","Redmi Note 13",Electronics,4,22598.56,30.07,90364.17,-18936.79
3689,2026-03-09,March,2026,"Luke oza","H&M Basic T-Shirt",Clothing,5,26912.14,37.97,134522.73,-1100.97
1827,2028-02-19,February,2028,"Luke oza","Lenovo IdeaPad Slim 3",Electronics,7,266.32,42.69,1821.55,-107623.45
1223,2025-12-19,December,2025,"Luke oza","BOLDFIT YOGA MAT",Sports,3,29666.71,50.15,88949.98,-24919.94
918,2024-09-30,September,2024,"Advika chawla","Wings of Fire",Books,4,10000.00,29.04,39970.96,-29773.84
918,2024-09-30,September,2024,"Advika chawla","Realme Buds Air 3",Electronics,6,8541.59,58.47,51191.07,-172092.27
3868,2024-04-16,April,2024,"Hemal pradhan","Philips Air Fryer","Home & Kitchen",5,11514.74,-10.00,57583.70,53565.05
3868,2024-04-16,April,2024,"Hemal pradhan","Boldfit Yoga Mat",Sports,10,99999.99,14.46,999985.44,851366.84
1122,2024-06-24,June,2024,"Hemal pradhan","BOLDFIT YOGA MAT",Sports,999,31018.47,16.69,30987434.84,-1010385.31
2816,2024-08-04,August,2024,NULL,"Redmi Note 13",Electronics,4,38320.06,28.50,153251.74,86249.94
2816,2024-08-04,August,2024,NULL,"apple airpods pro",Electronics,2,35791.49,37.38,71545.60,22345.04
2201,0000-00-00,NULL,0,"Advik ramachandran","Boldfit Yoga Mat",Sports,4,20430.05,NULL,NULL,NULL
1233,2025-08-13,August,2025,"Advik ramachandran","Wings of Fire",Books,4,14098.74,30.13,56364.83,16364.83
2597,2025-11-30,November,2025,"Lajita talwar","W Women Kurta",Clothing,NULL,10000.00,110.00,NULL,NULL
2597,2025-11-30,November,2025,"Lajita talwar","Redmi Note 13",Electronics,1,99999.99,49.99,99950.00,85692.42
2597,2025-11-30,November,2025,"Lajita talwar","Apple AirPods Pro",Electronics,7,23880.31,NULL,NULL,NULL
1299,2025-05-20,May,2025,"Lajita talwar","Realme Buds Air 3",Electronics,3,10000.00,NULL,NULL,NULL
3697,2025-07-20,July,2025,"Ansh babu","Samsung Galaxy A54",Electronics,1,36855.68,0.00,36855.68,33296.77
3697,2025-07-20,July,2025,"Ansh babu","Titan Watch",Others,8,10000.00,24.21,79975.79,-431742.05
1202,2024-08-11,August,2024,"Ansh babu","Nike Running Shoes",Sports,8,99999.99,21.39,799978.53,523320.45
3872,2026-12-19,December,2026,"Yash minhas","Boldfit Yoga Mat",Sports,8,23911.01,17.02,191271.06,72376.18
3872,2026-12-19,December,2026,"Yash minhas","Realme Buds Air 3",Electronics,8,31350.47,51.08,250752.68,151633.64
1448,2024-04-13,April,2024,"Yash minhas","OnePlus Nord CE3",Electronics,7,22860.19,56.67,159964.66,-2037.25
1448,2024-04-13,April,2024,"Yash minhas","LEGO Classic Set",Toys,8,10000.00,NULL,NULL,NULL
1799,2023-06-15,June,2023,"Indali prakash","Psychology of Money",Books,9,17462.00,24.18,157133.82,-57139.53
1799,2023-06-15,June,2023,"Indali prakash","Apple AirPods Pro",Electronics,1,23709.76,NULL,NULL,NULL
1799,2023-06-15,June,2023,"Indali prakash","Milton Flask","Home & Kitchen",8,14736.62,58.29,117834.67,-117333.33
2542,2024-06-15,June,2024,"Manbir sami","Cosco Basketball",Sports,1,11791.79,51.66,11740.13,3238.43
108,2025-02-24,February,2025,"Orinder mangal","Wings of Fire",Books,7,838.22,1.23,5866.31,-188079.19
1987,2024-06-01,June,2024,"Noah pal","W Women Kurta",Clothing,1,34780.99,52.34,34728.65,24728.65
3881,2024-08-31,August,2024,"Kamya muni","OnePlus Nord CE3",Electronics,9,99999.99,-10.00,900009.91,758113.48
3881,2024-08-31,August,2024,"Kamya muni","Milton Flask","Home & Kitchen",9,10000.00,110.00,89890.00,-174674.00
3881,2024-08-31,August,2024,"Kamya muni","Titan Watch",Others,9,10000.00,38.19,89961.81,-485720.76
3782,2026-02-09,February,2026,"Kamya muni","Lenovo IdeaPad Slim 3",Electronics,1,99999.99,14.52,99985.47,-900014.52
3782,2026-02-09,February,2026,"Kamya muni","H&M Basic T-Shirt",Clothing,1,16493.76,54.68,16439.08,-10685.66
2713,2025-07-26,July,2025,"Kamya muni","Sony WH-1000XM5",Electronics,10,6086.66,110.00,60756.60,-240190.70
2011,2024-11-07,November,2024,"Kamya muni","h&m basic t-shirt",Clothing,1,25635.61,NULL,NULL,NULL
1944,2026-04-06,April,2026,"Kamya muni","Nike Running Shoes",Sports,6,30359.56,15.23,182142.13,59255.17
2933,2024-09-19,September,2024,"Kevin patel","Funskool Monopoly",Toys,9,35892.48,7.42,323024.90,279686.03
1774,2025-03-03,March,2025,"Teerth ramakrishnan","Psychology of Money",Books,7,99999.99,2.19,699997.74,628695.67
3724,2025-07-10,July,2025,"Harish minhas","OnePlus Nord CE3",Electronics,1,35963.62,11.04,35952.58,-14371.50
841,2026-01-10,January,2026,"Harish minhas","h&m basic t-shirt",Clothing,999,2050.13,0.00,2048079.87,-24589545.84
3595,2025-01-01,January,2025,"Qadim munshi","Funskool Monopoly",Toys,6,9098.86,50.85,54542.31,39431.61
3095,2025-04-29,April,2025,"Qadim munshi","Milton Flask","Home & Kitchen",2,5449.09,110.00,10788.18,-39657.22
154,2025-12-03,December,2025,"Samaksh sachdeva","TATA TEA 1KG",Grocery,5,29432.87,23.69,147140.66,129456.26
3586,2024-11-04,November,2024,"Girik krishna","Tata Tea 1kg",Grocery,999,1414.13,NULL,NULL,NULL
3586,2024-11-04,November,2024,"Girik krishna","LEGO Classic Set",Toys,999,10502.42,22.89,10491894.69,-10266476.16
3150,2025-07-26,July,2025,"Girik krishna","Realme Buds Air 3",Electronics,7,6417.49,38.64,44883.79,-93967.72
3922,2024-10-27,October,2024,123,"Lenovo IdeaPad Slim 3",Electronics,NULL,16877.31,42.43,NULL,NULL
3154,2024-09-08,September,2024,123,"Realme Buds Air 3",Electronics,8,10000.00,37.91,79962.09,-217749.03
2949,2026-03-31,March,2026,123,"Lakme Lipstick",Beauty,2,38035.93,-10.00,76081.86,56081.86
1597,2025-12-12,December,2025,123,"WOW Hair Oil",Beauty,10,18933.37,0.00,189333.70,61011.40
1597,2025-12-12,December,2025,123,"Tata Tea 1kg",Grocery,5,10000.00,110.00,49890.00,-110.00
1329,2024-05-10,May,2024,123,"lego classic set",Toys,7,10000.00,23.01,69976.99,-253999.67
1329,2024-05-10,May,2024,123,"Tata Tea 1kg",Grocery,3,8661.34,35.45,25948.57,-4051.43
1208,2024-12-28,December,2024,123,"Apple AirPods Pro",Electronics,7,7815.97,0.80,54710.99,-208261.30
3211,2024-09-17,September,2024,"Idika verma","Funskool Monopoly",Toys,1,10000.00,52.05,9947.95,-52.05
3211,2024-09-17,September,2024,"Idika verma","Levis 511 Jeans",Clothing,6,20545.02,46.12,123224.00,49996.34
3211,2024-09-17,September,2024,"Idika verma","Apple AirPods Pro",Electronics,9,10000.00,59.44,89940.56,-59.44
1373,2025-08-25,August,2025,"Idika verma","Milton Flask","Home & Kitchen",2,24484.25,53.59,48914.91,33692.55
842,2025-11-24,November,2025,"Idika verma","Mamaearth Face Wash",Beauty,2,11784.77,34.28,23535.26,-24959.64
842,2025-11-24,November,2025,"Idika verma","h&m basic t-shirt",Clothing,1,27766.22,10.34,27755.88,21462.77
1542,2024-10-26,October,2024,"Dayita bhakta","Funskool Monopoly",Toys,9,11306.77,21.16,101739.77,-189887.41
1542,2024-10-26,October,2024,"Dayita bhakta","Levis 511 Jeans",Clothing,7,10000.00,57.75,69942.25,-83834.45
773,2024-10-19,October,2024,"Dayita bhakta","LENOVO IDEAPAD SLIM 3",Electronics,7,13097.77,31.45,91652.94,-79248.70
773,2024-10-19,October,2024,"Dayita bhakta","Tata Tea 1kg",Grocery,4,37587.68,12.82,150337.90,110337.90
722,1900-01-01,January,1900,"Dayita bhakta","Levis 511 Jeans",Clothing,NULL,12875.26,1.71,NULL,NULL
3225,2025-06-24,June,2025,"Upma kumar","LAKME LIPSTICK",Beauty,4,10000.00,45.91,39954.09,-70241.67
3225,2025-06-24,June,2025,"Upma kumar","LEGO Classic Set",Toys,2,9788.60,9.15,19568.05,10555.09
2943,2025-08-15,August,2025,"Upma kumar","COSCO BASKETBALL",Sports,2,99999.99,42.35,199957.63,151758.41
1417,2024-06-01,June,2024,"Upma kumar","WOW Hair Oil",Beauty,1,705.74,30.46,675.28,-12156.95
1417,2024-06-01,June,2024,"Upma kumar","Lenovo IdeaPad Slim 3",Electronics,3,23537.85,-10.00,70623.55,-42238.58
1059,2025-05-12,May,2025,"Upma kumar","Tata Tea 1kg",Grocery,1,39431.12,13.17,39417.95,12407.59
484,2024-09-09,September,2024,"Upma kumar","LAKME LIPSTICK",Beauty,5,99999.99,0.00,499999.95,393886.35
293,2025-08-09,August,2025,"Upma kumar","Redmi Note 13",Electronics,10,36822.79,54.22,368173.68,268173.68
293,2025-08-09,August,2025,"Upma kumar","W Women Kurta",Clothing,1,29299.43,8.03,29291.40,1029.21
3507,2024-08-14,August,2024,"Yash walla","Logitech MX Master 3",Electronics,9,99999.99,6.89,899993.02,576323.77
3507,2024-08-14,August,2024,"Yash walla","Boldfit Yoga Mat",Sports,1,23592.09,110.00,23482.09,13482.09
3507,2024-08-14,August,2024,"Yash walla","Nike Running Shoes",Sports,1,9650.53,110.00,9540.53,-5256.25
2088,2024-06-07,June,2024,"Yash walla","OnePlus Nord CE3",Electronics,3,10000.00,23.73,29976.27,-85000.74
2088,2024-06-07,June,2024,"Yash walla","Apple AirPods Pro",Electronics,10,712.30,44.27,7078.73,-52753.97
2088,2024-06-07,June,2024,"Yash walla","Wings of Fire",Books,3,8957.22,54.07,26817.59,-68868.19
2069,2025-11-26,November,2025,"Lavanya tailor","Mamaearth Face Wash",Beauty,3,99999.99,110.00,299889.97,227147.62
1769,2025-09-30,September,2025,"Lavanya tailor","Atomic Habits",Books,4,3624.15,0.00,14496.60,-120657.72
3831,2025-04-29,April,2025,"Upasna chandra","Cosco Basketball",Sports,1,8729.06,5.73,8723.33,221.63
